collection,size
archiveteam_chromebot,478375772061
archiveteam,3549598985328833
archivebot,654008194147175
archiveteam_newssites,543904061205157
archiveteam_youtube,39511037242309
archiveteam_tumblr,46294872028478
archiveteam_jazzhands,334616809314
fav-duckhuntpr0,4166678593
archiveteam_flickr,6960919659353
fav-alrght,20722808275
bad-data,280233589562
fav-qiche,27190695536
web,3157168630051514
fav-advicisom,884006084
fav-jp771,775029026
twitterstream,3612954846547
fav-ridahiscool,3399734604
fav-johnjake,11353746
fav-hobopop,11353746
archiveteam_tor,337861782659
fav-sh0008,52631678
fav-makhow,5256433305
fav-celicacr,37595042
scam,2875760753
archiveteam_geocitiesjp,4504466127915
fav-gufanda,4473937159
fav-cbubala,1378380011
fav-vxbinaca,55398835467
fav-pietrot60,1143154338
fav-pasolar,3213719012
porn,122016827
fav-jose_borges,902213920
fav-ponybraddock,13078895246
fav-sveck,331874395
fav-christ_chan64,262645399
fav-tanbamboo,394467286
fav-klynn432,1164138174
fav-halcy0n,7043395994
fav-filoperegrino,917913716
fav-islanddisco,37027734055
fav-fabrace,209938298
fav-someone0000000000,77766532
fav-18gohde,5777616301
archiveteam_purevolume,317087482226
archiveteam_newspapers,2469143240232
archiveteam_github,1330489934000
fav-babyrot,550409367
fav-mattizundel,296407984
fav-edmund_21,116328867
fav-big_chab,362480459
fav-bouncetiger,13203046068
fav-emijrp,8970859611
fav-swrobel,441520950
fav-mf89,9888092
fav-concobar,8070425989
fav-ghostkilll,754005575
fav-spyfan,35149643
fav-audra_akins,20370616
fav-donsiye,6148776020
fav-yara_cabral-seixas,140577048
fav-jorge_miranda_poveda,27642847
fav-qc1111,3315580012
fav-lobodeoro,1332941413
fav-nyfa,619697361
fav-nadiahkim4,38708465
fav-14jammar,2576753705
archiveteam_yahoogroups,5665873902533
fav-freddie_mercury_bohemian_rhapsody,348060884
fav-zohan_gzz,44803667
fav-satellite_crew,76361621
fav-quantumbeeempath,9555412
fav-keldem,33256672
fav-pessoptomist,183716699
fav-aaagnenna,533642897
fav-philip_de_groot,5149562183
fav-yukoff,545123976
fav-the_archiver_2009,13354636
fav-jbalance,25830754547
fav-panfu28,25830754547
fav-giulicrds,234713903
fav-haileemilligan,480846386
fav-bdott33,8679398601
fav-02131productions,415431554
fav-jazzymatt77,93826612
fav-joehancock95,13025569802
fav-theshroomboi_gmail_com,7498610548
fav-aj_hart,211346488
fav-mentlamonkey1982,466167326
fav-bardou,8919032
fav-khalucie,1028424417
fav-volfox,1204777742
fav-jrdnsln,1593965180
fav-tetsuwan81,2778301096
fav-njadaka18,76576666
fav-gnaternies,915602511
fav-ian_ogdahl,61304168
fav-smallroom,255413561
fav-jm3,112567026
fav-mana_nana,333197631
fav-dambrou,410650313
fav-blargch,116977771
fav-sqphotography,2732544772
fav-mjs-ia,39572842
fav-kitsune_kean,3899997911
fav-freiner,28662206
fav-phycom,579764903
fav-michael_d_apos_abruzzo,256017305
fav-writerauiler,5183175955
fav-clubjosefina,447055727
fav-quietstorm67,44733907
fav-wesley_rhamer,87616664
fav-nklsfksdl,145254014
fav-realmasterpiecesofficial,578153697
fav-pugbug432,143586277
fav-gal_hakmon,129445925
fav-notmy_documents,1293456431
fav-yura_14,332324938
fav-phantm,187769268
fav-kirito1234,36438036
fav-jagecb,119746475
fav-bigmacsnackwrap,15791732
fav-ougonkishi,313168464
fav-solisx6,218363969
fav-mugenfightertube,2261857602
fav-mikeroush,1272229950
fav-nlawrence,1133493103
fav-mmmmmmaaaaaadmarta,1047287006
fav-tracy_satchwill,1612916727
fav-bajablast,1634346568
fav-avenger2008,1168382272
fav-sirugos,110813138
fav-elephant_of_surprise,988006231
fav-cutthroatroach,558716600
fav-kate_patsiavos,2172266603
fav-cairam,1743393459
fav-chris_mathisen,1244860259
fav-dominus-sathanas,127996305
fav-gashollear,1229680258
fav-david_smith1967,7630299708
fav-cole_1,505369306
fav-jude3tv,7414391240
fav-mszev,2732401323
fav-wholeyma,1684014011
fav-anton_walker,10293124657
fav-mineyoshi,557098624
fav-elijahthemoviefanatic,996830250
fav-cc3timlinn,164637733
fav-cddc,262816184
fav-lamedusalive,164637733
fav-mikehei,1826644250
fav-hgilchrist,339188054
fav-imnotfriendly,1840539310
fav-ralph3671,1188997942
fav-snot333x2,1663507511
fav-bartenational,132419245
fav-ponzo_227,530937039
fav-oneglobaluniversemusic,15521281
fav-taylorjune,59610899
fav-bradybunchnut,1523377843
fav-jodyvalyou70,1245519654
fav-tinsun,1245519654
fav-airelaaav,2781488606
fav-69redball,1344993654
fav-airstreamdriver,916706127
fav-affiliate_fantasmo,1045911702
fav-achildprincess,4329803763
fav-gobofraggle1983,3286902345
fav-penguingal,802041257
fav-brely7,1432670597
fav-daani_victoria,131189111
fav-shmhz72,174694070
fav-carlos_rafael_marin,43595935
fav-adexco,155407716
fav-valentinevoisin,143783837
fav-rivkah1,40913049
fav-veena_rodeo,14898715
fav-krazedkat,15217421
fav-tomjanovich47,24961051
fav-retnuham,510803970
fav-wylde86,9528228780
fav-saidab31,33858942
fav-jf_burguet,152079289
fav-rbhewitt,18343257
fav-dayanna_gon_alves,17955095
fav-mariomorgan,1604661976
fav-glickmandigitalmedia,1414736074
fav-rachelthecarrott,798980688
fav-maggiebowen,103769225
fav-kmckeon,65813971
fav-boldnic,26445766
fav-lostokie,22135257782
fav-zcargrl,25364874
fav-sharaesha,28735632
fav-vintageretroflashback,141862073
fav-rebecca_vera,81281877
fav-tiny_turtle1243,77700133
fav-clearance332,9354605563
fav-leilah8,612356292
fav-azurii,232125880
fav-brett34,572750837
fav-norm_beeches,236500587
fav-xxproreapsxx,144917929
archiveteam_ytmnd,844554832731
fav-justinc,41738932946
archiveteam_wiki,5067443600593
archiveteam_acidplanet,4747095112084
fav-muellz,134756404
fav-grey_beard_42,8977581114
fav-gentile66,170994961
fav-coleman300,3149298673
fav-mayen12,451085154
fav-pizza24,105252240
fav-qichuang,74570475
fav-aenos,52122792
fav-manzanapodrida,1452259561
fav-mark_e_tisckos,150321176
fav-kl678,402152097
fav-eroguro,402152097
fav-grasshopper1997,414082953
fav-jimmerang,17379065
fav-lobotomy_club,874894805
archiveteam_tindeck,268688480579
fav-tucsontobedty,591206505
fav-jennsmischief,233128781
fav-corvo_hawkins,1784034125
fav-travadap,45298061
fav-herbalm8den,344405483
fav-scott_lord,1282347473
fav-jhaemes,98759597
fav-19omhs72,1922765987
fav-rd1234,64257103
fav-the_emperor_of_television,386574676
fav-johnny_de_lux,142314277
fav-marissaechw,726566668
fav-kno2skull,272074492
fav-junkos_mood,28806586
fav-rhumduch,1472883420
