time,tweets
2019-09-13 00:11:11,8
2019-09-13 00:11:17,2
2019-09-13 00:11:37,5
2019-09-13 00:11:48,5
2019-09-13 00:12:11,4
2019-09-13 00:12:26,1
2019-09-13 00:12:35,3
2019-09-13 00:12:39,1
2019-09-13 00:12:40,1
2019-09-13 00:12:49,5
2019-09-13 00:13:00,3
2019-09-13 00:13:01,1
2019-09-13 00:13:06,5
2019-09-13 00:13:08,3
2019-09-13 00:13:15,2
2019-09-13 00:13:22,1
2019-09-13 00:13:25,6
2019-09-13 00:13:30,9
2019-09-13 00:13:31,17
2019-09-13 00:13:32,5
2019-09-13 00:13:34,3
2019-09-13 00:13:35,2
2019-09-13 00:13:37,5
2019-09-13 00:13:42,3
2019-09-13 00:13:44,1
2019-09-13 00:13:45,4
2019-09-13 00:13:47,3
2019-09-13 00:13:48,4
2019-09-13 00:13:49,12
2019-09-13 00:13:52,7
2019-09-13 00:13:54,1
2019-09-13 00:13:56,4
2019-09-13 00:13:59,4
2019-09-13 00:14:01,11
2019-09-13 00:14:03,8
2019-09-13 00:14:06,12
2019-09-13 00:14:07,20
2019-09-13 00:14:09,14
2019-09-13 00:14:11,10
2019-09-13 00:14:12,1
2019-09-13 00:14:13,16
2019-09-13 00:14:15,8
2019-09-13 00:14:16,3
2019-09-13 00:14:17,8
2019-09-13 00:14:19,3
2019-09-13 00:14:20,9
2019-09-13 00:14:21,5
2019-09-13 00:14:22,11
2019-09-13 00:14:24,9
2019-09-13 00:14:25,5
2019-09-13 00:14:27,11
2019-09-13 00:14:28,6
2019-09-13 00:14:29,31
2019-09-13 00:14:30,3
2019-09-13 00:14:31,24
2019-09-13 00:14:32,7
2019-09-13 00:14:36,11
2019-09-13 00:14:37,5
2019-09-13 00:14:39,9
2019-09-13 00:14:40,4
2019-09-13 00:14:43,6
2019-09-13 00:14:44,3
2019-09-13 00:14:45,3
2019-09-13 00:14:47,24
2019-09-13 00:14:48,9
2019-09-13 00:14:49,2
2019-09-13 00:14:51,4
2019-09-13 00:14:52,10
2019-09-13 00:14:53,5
2019-09-13 00:14:55,14
2019-09-13 00:14:58,4
2019-09-13 00:15:01,3
2019-09-13 00:15:03,10
2019-09-13 00:15:05,17
2019-09-13 00:15:09,1
2019-09-13 00:15:10,17
2019-09-13 00:15:11,7
2019-09-13 00:15:14,10
2019-09-13 00:15:15,13
2019-09-13 00:15:16,3
2019-09-13 00:15:17,6
2019-09-13 00:15:20,5
2019-09-13 00:15:22,5
2019-09-13 00:15:27,19
2019-09-13 00:15:28,9
2019-09-13 00:15:29,5
2019-09-13 00:15:31,4
2019-09-13 00:15:34,11
2019-09-13 00:15:35,4
2019-09-13 00:15:37,5
2019-09-13 00:15:39,3
2019-09-13 00:15:40,12
2019-09-13 00:15:44,11
2019-09-13 00:15:45,9
2019-09-13 00:15:48,11
2019-09-13 00:15:52,7
2019-09-13 00:15:53,10
2019-09-13 00:15:54,2
2019-09-13 00:15:58,2
2019-09-13 00:15:59,5
2019-09-13 00:16:02,2
2019-09-13 00:16:05,4
2019-09-13 00:16:10,2
2019-09-13 00:16:11,2
2019-09-13 00:16:12,3
2019-09-13 00:16:15,2
2019-09-13 00:16:16,4
2019-09-13 00:16:17,2
2019-09-13 00:16:22,13
2019-09-13 00:16:23,4
2019-09-13 00:16:24,7
2019-09-13 00:16:25,5
2019-09-13 00:16:31,2
2019-09-13 00:16:33,8
2019-09-13 00:16:34,4
2019-09-13 00:16:38,3
2019-09-13 00:16:39,12
2019-09-13 00:16:41,7
2019-09-13 00:16:42,2
2019-09-13 00:16:44,1
2019-09-13 00:16:46,10
2019-09-13 00:16:47,5
2019-09-13 00:16:48,5
2019-09-13 00:16:50,1
2019-09-13 00:16:51,7
2019-09-13 00:16:52,3
2019-09-13 00:16:54,5
2019-09-13 00:16:55,7
2019-09-13 00:16:57,2
2019-09-13 00:16:59,5
2019-09-13 00:17:01,5
2019-09-13 00:17:03,4
2019-09-13 00:17:04,13
2019-09-13 00:17:06,3
2019-09-13 00:17:08,14
2019-09-13 00:17:09,6
2019-09-13 00:17:10,6
2019-09-13 00:17:11,11
2019-09-13 00:17:13,2
2019-09-13 00:17:14,9
2019-09-13 00:17:15,2
2019-09-13 00:17:18,7
2019-09-13 00:17:19,1
2019-09-13 00:17:21,14
2019-09-13 00:17:22,21
2019-09-13 00:17:23,11
2019-09-13 00:17:28,4
2019-09-13 00:17:31,7
2019-09-13 00:17:33,1
2019-09-13 00:17:34,12
2019-09-13 00:17:36,3
2019-09-13 00:17:37,14
2019-09-13 00:17:39,3
2019-09-13 00:17:40,2
2019-09-13 00:17:41,2
2019-09-13 00:17:43,7
2019-09-13 00:17:44,10
2019-09-13 00:17:45,3
2019-09-13 00:17:47,2
2019-09-13 00:17:50,8
2019-09-13 00:17:52,4
2019-09-13 00:18:00,6
2019-09-13 00:18:01,1
2019-09-13 00:18:02,1
2019-09-13 00:18:05,3
2019-09-13 00:18:11,4
2019-09-13 00:18:12,18
2019-09-13 00:18:13,8
2019-09-13 00:18:14,4
2019-09-13 00:18:16,17
2019-09-13 00:18:20,9
2019-09-13 00:18:21,2
2019-09-13 00:18:23,13
2019-09-13 00:18:28,2
2019-09-13 00:18:29,4
2019-09-13 00:18:31,1
2019-09-13 00:18:32,2
2019-09-13 00:18:34,1
2019-09-13 00:18:35,4
2019-09-13 00:18:37,5
2019-09-13 00:18:40,5
2019-09-13 00:18:42,4
2019-09-13 00:18:45,3
2019-09-13 00:18:49,6
2019-09-13 00:18:54,7
2019-09-13 00:18:58,5
2019-09-13 00:19:00,15
2019-09-13 00:19:01,3
2019-09-13 00:19:03,7
2019-09-13 00:19:04,11
2019-09-13 00:19:05,7
2019-09-13 00:19:07,5
2019-09-13 00:19:08,5
2019-09-13 00:19:09,4
2019-09-13 00:19:13,3
2019-09-13 00:19:14,7
2019-09-13 00:19:15,5
2019-09-13 00:19:17,6
2019-09-13 00:19:18,22
2019-09-13 00:19:20,7
2019-09-13 00:19:22,14
2019-09-13 00:19:24,1
2019-09-13 00:19:25,8
2019-09-13 00:19:26,9
2019-09-13 00:19:27,10
2019-09-13 00:19:29,5
2019-09-13 00:19:37,11
2019-09-13 00:19:39,10
2019-09-13 00:19:40,6
2019-09-13 00:19:43,1
2019-09-13 00:19:44,7
2019-09-13 00:19:47,5
2019-09-13 00:19:49,10
2019-09-13 00:19:50,1
2019-09-13 00:20:00,3
2019-09-13 00:20:05,12
2019-09-13 00:20:10,26
2019-09-13 00:20:11,9
2019-09-13 00:20:13,4
2019-09-13 00:20:19,5
2019-09-13 00:20:22,4
2019-09-13 00:20:28,4
2019-09-13 00:20:29,4
2019-09-13 00:20:34,3
2019-09-13 00:20:39,7
2019-09-13 00:20:40,6
2019-09-13 00:20:48,8
2019-09-13 00:20:51,12
2019-09-13 00:20:52,4
2019-09-13 00:20:54,10
2019-09-13 00:20:55,4
2019-09-13 00:20:59,3
2019-09-13 00:21:05,15
2019-09-13 00:21:10,5
2019-09-13 00:21:11,8
2019-09-13 00:21:12,3
2019-09-13 00:21:14,1
2019-09-13 00:21:15,2
2019-09-13 00:21:16,5
2019-09-13 00:21:17,8
2019-09-13 00:21:19,12
2019-09-13 00:21:22,4
2019-09-13 00:21:24,6
2019-09-13 00:21:25,11
2019-09-13 00:21:26,7
2019-09-13 00:21:42,5
2019-09-13 00:21:47,2
2019-09-13 00:21:48,3
2019-09-13 00:21:50,8
2019-09-13 00:21:51,4
2019-09-13 00:22:01,13
2019-09-13 00:22:03,15
2019-09-13 00:22:04,15
2019-09-13 00:22:05,5
2019-09-13 00:22:08,5
2019-09-13 00:22:09,6
2019-09-13 00:22:10,1
2019-09-13 00:22:11,7
2019-09-13 00:22:12,6
2019-09-13 00:22:13,8
2019-09-13 00:22:14,1
2019-09-13 00:22:17,7
2019-09-13 00:22:18,2
2019-09-13 00:22:19,2
2019-09-13 00:22:20,6
2019-09-13 00:22:21,7
2019-09-13 00:22:22,1
2019-09-13 00:22:24,3
2019-09-13 00:22:25,8
2019-09-13 00:22:26,6
2019-09-13 00:22:27,13
2019-09-13 00:22:28,4
2019-09-13 00:22:29,20
2019-09-13 00:22:30,4
2019-09-13 00:22:32,12
2019-09-13 00:22:35,18
2019-09-13 00:22:36,5
2019-09-13 00:22:37,4
2019-09-13 00:22:38,17
2019-09-13 00:22:40,1
2019-09-13 00:22:42,2
2019-09-13 00:22:43,9
2019-09-13 00:22:48,16
2019-09-13 00:22:49,13
2019-09-13 00:22:50,6
2019-09-13 00:22:51,8
2019-09-13 00:22:53,5
2019-09-13 00:22:54,5
2019-09-13 00:22:56,4
2019-09-13 00:22:58,5
2019-09-13 00:22:59,4
2019-09-13 00:23:00,19
2019-09-13 00:23:01,3
2019-09-13 00:23:02,1
2019-09-13 00:23:04,19
2019-09-13 00:23:05,8
2019-09-13 00:23:06,1
2019-09-13 00:23:07,6
2019-09-13 00:23:09,2
2019-09-13 00:23:10,17
2019-09-13 00:23:11,5
2019-09-13 00:23:12,15
2019-09-13 00:23:13,12
2019-09-13 00:23:14,4
2019-09-13 00:23:15,11
2019-09-13 00:23:17,15
2019-09-13 00:23:18,7
2019-09-13 00:23:20,1
2019-09-13 00:23:21,1
2019-09-13 00:23:22,6
2019-09-13 00:23:23,1
2019-09-13 00:23:24,5
2019-09-13 00:23:26,3
2019-09-13 00:23:27,10
2019-09-13 00:23:28,6
2019-09-13 00:23:32,8
2019-09-13 00:23:33,4
2019-09-13 00:23:34,1
2019-09-13 00:23:35,4
2019-09-13 00:23:36,12
2019-09-13 00:23:37,14
2019-09-13 00:23:44,13
2019-09-13 00:23:45,6
2019-09-13 00:23:46,9
2019-09-13 00:23:48,1
2019-09-13 00:23:54,11
2019-09-13 00:23:55,7
2019-09-13 00:23:57,1
2019-09-13 00:24:03,6
2019-09-13 00:24:04,6
2019-09-13 00:24:05,11
2019-09-13 00:24:06,3
2019-09-13 00:24:08,16
2019-09-13 00:24:09,7
2019-09-13 00:24:10,11
2019-09-13 00:24:11,2
2019-09-13 00:24:13,15
2019-09-13 00:24:14,5
2019-09-13 00:24:17,4
2019-09-13 00:24:18,5
2019-09-13 00:24:21,12
2019-09-13 00:24:23,3
2019-09-13 00:24:24,20
2019-09-13 00:24:25,3
2019-09-13 00:24:26,17
2019-09-13 00:24:27,9
2019-09-13 00:24:29,8
2019-09-13 00:24:30,11
2019-09-13 00:24:31,10
2019-09-13 00:24:33,9
2019-09-13 00:24:34,8
2019-09-13 00:24:35,6
2019-09-13 00:24:36,9
2019-09-13 00:24:37,9
2019-09-13 00:24:38,29
2019-09-13 00:24:39,18
2019-09-13 00:24:41,7
2019-09-13 00:24:42,7
2019-09-13 00:24:43,4
2019-09-13 00:24:44,16
2019-09-13 00:24:45,14
2019-09-13 00:24:47,8
2019-09-13 00:24:48,17
2019-09-13 00:24:49,2
2019-09-13 00:24:51,10
2019-09-13 00:24:52,1
2019-09-13 00:24:53,5
2019-09-13 00:24:54,1
2019-09-13 00:24:55,12
2019-09-13 00:24:56,5
2019-09-13 00:24:58,24
2019-09-13 00:24:59,18
2019-09-13 00:25:00,3
2019-09-13 00:25:02,4
2019-09-13 00:25:03,9
2019-09-13 00:25:04,15
2019-09-13 00:25:05,5
2019-09-13 00:25:06,20
2019-09-13 00:25:08,7
2019-09-13 00:25:10,21
2019-09-13 00:25:11,9
2019-09-13 00:25:12,4
2019-09-13 00:25:13,17
2019-09-13 00:25:14,7
2019-09-13 00:25:15,12
2019-09-13 00:25:16,10
2019-09-13 00:25:18,9
2019-09-13 00:25:20,3
2019-09-13 00:25:21,10
2019-09-13 00:25:22,19
2019-09-13 00:25:23,2
2019-09-13 00:25:24,15
2019-09-13 00:25:25,23
2019-09-13 00:25:26,9
2019-09-13 00:25:27,6
2019-09-13 00:25:28,17
2019-09-13 00:25:29,10
2019-09-13 00:25:30,20
2019-09-13 00:25:31,20
2019-09-13 00:25:32,5
2019-09-13 00:25:33,22
2019-09-13 00:25:34,17
2019-09-13 00:25:35,24
2019-09-13 00:25:36,8
2019-09-13 00:25:37,11
2019-09-13 00:25:38,8
2019-09-13 00:25:39,14
2019-09-13 00:25:40,25
2019-09-13 00:25:41,11
2019-09-13 00:25:42,14
2019-09-13 00:25:43,8
2019-09-13 00:25:44,11
2019-09-13 00:25:46,20
2019-09-13 00:25:47,4
2019-09-13 00:25:48,16
2019-09-13 00:25:49,12
2019-09-13 00:25:50,2
2019-09-13 00:25:52,11
2019-09-13 00:25:53,16
2019-09-13 00:25:54,14
