time,tweets
2019-09-13 00:00:00,30
2019-09-13 00:00:01,12
2019-09-13 00:00:02,11
2019-09-13 00:00:03,9
2019-09-13 00:00:04,6
2019-09-13 00:00:05,7
2019-09-13 00:00:06,18
2019-09-13 00:00:07,15
2019-09-13 00:00:08,10
2019-09-13 00:00:09,12
2019-09-13 00:00:10,8
2019-09-13 00:00:11,14
2019-09-13 00:00:12,15
2019-09-13 00:00:13,11
2019-09-13 00:00:14,11
2019-09-13 00:00:15,8
2019-09-13 00:00:16,9
2019-09-13 00:00:17,6
2019-09-13 00:00:18,7
2019-09-13 00:00:19,4
2019-09-13 00:00:20,11
2019-09-13 00:00:21,5
2019-09-13 00:00:22,10
2019-09-13 00:00:23,7
2019-09-13 00:00:24,12
2019-09-13 00:00:25,5
2019-09-13 00:00:26,8
2019-09-13 00:00:27,8
2019-09-13 00:00:28,9
2019-09-13 00:00:29,9
2019-09-13 00:00:30,12
2019-09-13 00:00:31,12
2019-09-13 00:00:32,12
2019-09-13 00:00:33,16
2019-09-13 00:00:34,16
2019-09-13 00:00:35,17
2019-09-13 00:00:36,9
2019-09-13 00:00:37,8
2019-09-13 00:00:38,6
2019-09-13 00:00:39,9
2019-09-13 00:00:40,12
2019-09-13 00:00:41,8
2019-09-13 00:00:42,12
2019-09-13 00:00:43,8
2019-09-13 00:00:44,12
2019-09-13 00:00:45,10
2019-09-13 00:00:46,11
2019-09-13 00:00:47,9
2019-09-13 00:00:48,7
2019-09-13 00:00:49,12
2019-09-13 00:00:50,11
2019-09-13 00:00:51,7
2019-09-13 00:00:52,12
2019-09-13 00:00:53,9
2019-09-13 00:00:54,6
2019-09-13 00:00:55,13
2019-09-13 00:00:56,13
2019-09-13 00:00:57,7
2019-09-13 00:00:58,10
2019-09-13 00:00:59,12
2019-09-13 00:01:00,18
2019-09-13 00:01:01,6
2019-09-13 00:01:02,10
2019-09-13 00:01:03,14
2019-09-13 00:01:04,17
2019-09-13 00:01:05,10
2019-09-13 00:01:06,6
2019-09-13 00:01:07,11
2019-09-13 00:01:08,7
2019-09-13 00:01:09,15
2019-09-13 00:01:10,13
2019-09-13 00:01:11,15
2019-09-13 00:01:12,13
2019-09-13 00:01:13,7
2019-09-13 00:01:14,5
2019-09-13 00:01:15,6
2019-09-13 00:01:16,17
2019-09-13 00:01:17,15
2019-09-13 00:01:18,13
2019-09-13 00:01:19,12
2019-09-13 00:01:20,14
2019-09-13 00:01:21,8
2019-09-13 00:01:22,9
2019-09-13 00:01:23,10
2019-09-13 00:01:24,16
2019-09-13 00:01:25,9
2019-09-13 00:01:26,15
2019-09-13 00:01:27,7
2019-09-13 00:01:28,13
2019-09-13 00:01:29,5
2019-09-13 00:01:30,10
2019-09-13 00:01:31,15
2019-09-13 00:01:32,18
2019-09-13 00:01:33,18
2019-09-13 00:01:34,15
2019-09-13 00:01:35,14
2019-09-13 00:01:36,13
2019-09-13 00:01:37,12
2019-09-13 00:01:38,14
2019-09-13 00:01:39,10
2019-09-13 00:01:40,9
2019-09-13 00:01:41,12
2019-09-13 00:01:42,12
2019-09-13 00:01:43,24
2019-09-13 00:01:44,12
2019-09-13 00:01:45,15
2019-09-13 00:01:46,23
2019-09-13 00:01:47,16
2019-09-13 00:01:48,15
2019-09-13 00:01:49,8
2019-09-13 00:01:50,12
2019-09-13 00:01:51,12
2019-09-13 00:01:52,20
2019-09-13 00:01:53,18
2019-09-13 00:01:54,20
2019-09-13 00:01:55,17
2019-09-13 00:01:56,13
2019-09-13 00:01:57,21
2019-09-13 00:01:58,19
2019-09-13 00:01:59,16
2019-09-13 00:02:00,11
2019-09-13 00:02:01,19
2019-09-13 00:02:02,17
2019-09-13 00:02:03,16
2019-09-13 00:02:04,20
2019-09-13 00:02:05,12
2019-09-13 00:02:06,17
2019-09-13 00:02:07,13
2019-09-13 00:02:08,12
2019-09-13 00:02:09,18
2019-09-13 00:02:10,16
2019-09-13 00:02:11,19
2019-09-13 00:02:12,15
2019-09-13 00:02:13,21
2019-09-13 00:02:14,13
2019-09-13 00:02:15,11
2019-09-13 00:02:16,19
2019-09-13 00:02:17,15
2019-09-13 00:02:18,10
2019-09-13 00:02:19,20
2019-09-13 00:02:20,10
2019-09-13 00:02:21,18
2019-09-13 00:02:22,17
2019-09-13 00:02:23,9
2019-09-13 00:02:24,12
2019-09-13 00:02:25,15
2019-09-13 00:02:26,14
2019-09-13 00:02:27,9
2019-09-13 00:02:28,14
2019-09-13 00:02:29,11
2019-09-13 00:02:30,17
2019-09-13 00:02:31,12
2019-09-13 00:02:32,16
2019-09-13 00:02:33,17
2019-09-13 00:02:34,13
2019-09-13 00:02:35,9
2019-09-13 00:02:36,14
2019-09-13 00:02:37,19
2019-09-13 00:02:38,13
2019-09-13 00:02:39,13
2019-09-13 00:02:40,16
2019-09-13 00:02:41,12
2019-09-13 00:02:42,11
2019-09-13 00:02:43,13
2019-09-13 00:02:44,21
2019-09-13 00:02:45,18
2019-09-13 00:02:46,8
2019-09-13 00:02:47,23
2019-09-13 00:02:48,13
2019-09-13 00:02:49,15
2019-09-13 00:02:50,14
2019-09-13 00:02:51,16
2019-09-13 00:02:52,14
2019-09-13 00:02:53,12
2019-09-13 00:02:54,11
2019-09-13 00:02:55,19
2019-09-13 00:02:56,21
2019-09-13 00:02:57,10
2019-09-13 00:02:58,11
2019-09-13 00:02:59,11
2019-09-13 00:03:00,11
2019-09-13 00:03:01,19
2019-09-13 00:03:02,20
2019-09-13 00:03:03,17
2019-09-13 00:03:04,12
2019-09-13 00:03:05,17
2019-09-13 00:03:06,15
2019-09-13 00:03:07,15
2019-09-13 00:03:08,17
2019-09-13 00:03:09,11
2019-09-13 00:03:10,16
2019-09-13 00:03:11,17
2019-09-13 00:03:12,18
2019-09-13 00:03:13,22
2019-09-13 00:03:14,16
2019-09-13 00:03:15,20
2019-09-13 00:03:16,27
2019-09-13 00:03:17,25
2019-09-13 00:03:18,10
2019-09-13 00:03:19,24
2019-09-13 00:03:20,17
2019-09-13 00:03:21,18
2019-09-13 00:03:22,8
2019-09-13 00:03:23,17
2019-09-13 00:03:24,23
2019-09-13 00:03:25,11
2019-09-13 00:03:26,16
2019-09-13 00:03:27,17
2019-09-13 00:03:28,10
2019-09-13 00:03:29,15
2019-09-13 00:03:30,20
2019-09-13 00:03:31,16
2019-09-13 00:03:32,18
2019-09-13 00:03:33,13
2019-09-13 00:03:34,9
2019-09-13 00:03:35,20
2019-09-13 00:03:36,21
2019-09-13 00:03:37,22
2019-09-13 00:03:38,17
2019-09-13 00:03:39,14
2019-09-13 00:03:40,14
2019-09-13 00:03:41,21
2019-09-13 00:03:42,23
2019-09-13 00:03:43,21
2019-09-13 00:03:44,13
2019-09-13 00:03:45,18
2019-09-13 00:03:46,13
2019-09-13 00:03:47,15
2019-09-13 00:03:48,23
2019-09-13 00:03:49,21
2019-09-13 00:03:50,20
2019-09-13 00:03:51,17
2019-09-13 00:03:52,22
2019-09-13 00:03:53,16
2019-09-13 00:03:54,27
2019-09-13 00:03:55,16
2019-09-13 00:03:56,19
2019-09-13 00:03:57,23
2019-09-13 00:03:58,21
2019-09-13 00:03:59,15
2019-09-13 00:04:00,18
2019-09-13 00:04:01,26
2019-09-13 00:04:02,21
2019-09-13 00:04:03,18
2019-09-13 00:04:04,12
2019-09-13 00:04:05,16
2019-09-13 00:04:06,10
2019-09-13 00:04:07,14
2019-09-13 00:04:08,21
2019-09-13 00:04:09,15
2019-09-13 00:04:10,11
2019-09-13 00:04:11,21
2019-09-13 00:04:12,19
2019-09-13 00:04:13,17
2019-09-13 00:04:14,20
2019-09-13 00:04:15,21
2019-09-13 00:04:16,20
2019-09-13 00:04:17,13
2019-09-13 00:04:18,14
2019-09-13 00:04:19,15
2019-09-13 00:04:20,16
2019-09-13 00:04:21,18
2019-09-13 00:04:22,23
2019-09-13 00:04:23,21
2019-09-13 00:04:24,18
2019-09-13 00:04:25,20
2019-09-13 00:04:26,14
2019-09-13 00:04:27,15
2019-09-13 00:04:28,11
2019-09-13 00:04:29,12
2019-09-13 00:04:30,18
2019-09-13 00:04:31,22
2019-09-13 00:04:32,20
2019-09-13 00:04:33,16
2019-09-13 00:04:34,22
2019-09-13 00:04:35,19
2019-09-13 00:04:36,26
2019-09-13 00:04:37,18
2019-09-13 00:04:38,22
2019-09-13 00:04:39,22
2019-09-13 00:04:40,28
2019-09-13 00:04:41,25
2019-09-13 00:04:42,15
2019-09-13 00:04:43,20
2019-09-13 00:04:44,16
2019-09-13 00:04:45,21
2019-09-13 00:04:46,20
2019-09-13 00:04:47,12
2019-09-13 00:04:48,15
2019-09-13 00:04:49,21
2019-09-13 00:04:50,21
2019-09-13 00:04:51,16
2019-09-13 00:04:52,10
2019-09-13 00:04:53,17
2019-09-13 00:04:54,21
2019-09-13 00:04:55,18
2019-09-13 00:04:56,26
