time,tweets
2020-05-26 14:00:00,91
2020-05-26 15:00:00,752
2020-05-26 16:00:00,3137
2020-05-26 17:00:00,4601
2020-05-26 18:00:00,5478
2020-05-26 19:00:00,9876
2020-05-26 20:00:00,16482
2020-05-26 21:00:00,17972
2020-05-26 22:00:00,19547
2020-05-26 23:00:00,24141
2020-05-27 00:00:00,25937
2020-05-27 01:00:00,34827
2020-05-27 02:00:00,42949
2020-05-27 03:00:00,44978
2020-05-27 04:00:00,40224
2020-05-27 05:00:00,37863
2020-05-27 06:00:00,31199
2020-05-27 07:00:00,28671
2020-05-27 08:00:00,30293
2020-05-27 09:00:00,32741
2020-05-27 10:00:00,40816
2020-05-27 11:00:00,45999
2020-05-27 12:00:00,49638
2020-05-27 13:00:00,55357
2020-05-27 14:00:00,59472
2020-05-27 15:00:00,55387
2020-05-27 16:00:00,52511
2020-05-27 17:00:00,52242
2020-05-27 18:00:00,49288
2020-05-27 19:00:00,50934
2020-05-27 20:00:00,49385
2020-05-27 21:00:00,53286
2020-05-27 22:00:00,50153
2020-05-27 23:00:00,49922
2020-05-28 00:00:00,56765
2020-05-28 01:00:00,60622
2020-05-28 02:00:00,61475
2020-05-28 03:00:00,57565
2020-05-28 04:00:00,53928
2020-05-28 05:00:00,49599
2020-05-28 06:00:00,45578
2020-05-28 07:00:00,46601
2020-05-28 08:00:00,50887
2020-05-28 09:00:00,49524
2020-05-28 10:00:00,49599
2020-05-28 11:00:00,60259
2020-05-28 12:00:00,64830
2020-05-28 13:00:00,71936
2020-05-28 14:00:00,77768
2020-05-28 15:00:00,76745
2020-05-28 16:00:00,69940
2020-05-28 17:00:00,67766
2020-05-28 18:00:00,66649
2020-05-28 19:00:00,63963
2020-05-28 20:00:00,64127
2020-05-28 21:00:00,58627
2020-05-28 22:00:00,58680
2020-05-28 23:00:00,53094
2020-05-29 00:00:00,45968
2020-05-29 01:00:00,46762
2020-05-29 02:00:00,48909
2020-05-29 03:00:00,53485
2020-05-29 04:00:00,68182
2020-05-29 05:00:00,58446
2020-05-29 06:00:00,47925
2020-05-29 07:00:00,34885
2020-05-29 08:00:00,30294
2020-05-29 09:00:00,29374
2020-05-29 10:00:00,42277
2020-05-29 11:00:00,58543
2020-05-29 12:00:00,60738
2020-05-29 13:00:00,68411
2020-05-29 14:00:00,75075
2020-05-29 15:00:00,92937
2020-05-29 16:00:00,68969
2020-05-29 17:00:00,90239
2020-05-29 18:00:00,80373
2020-05-29 19:00:00,60224
2020-05-29 20:00:00,48064
2020-05-29 21:00:00,45098
2020-05-29 22:00:00,43928
2020-05-29 23:00:00,45308
2020-05-30 00:00:00,56135
2020-05-30 01:00:00,59039
2020-05-30 02:00:00,61543
2020-05-30 03:00:00,71621
2020-05-30 04:00:00,61933
2020-05-30 05:00:00,51364
2020-05-30 06:00:00,45272
2020-05-30 07:00:00,40478
2020-05-30 08:00:00,34635
2020-05-30 09:00:00,29104
2020-05-30 10:00:00,28424
2020-05-30 11:00:00,33538
2020-05-30 12:00:00,38354
2020-05-30 13:00:00,40073
2020-05-30 14:00:00,46129
2020-05-30 15:00:00,47258
2020-05-30 16:00:00,44792
2020-05-30 17:00:00,44925
2020-05-30 18:00:00,45690
2020-05-30 19:00:00,41511
2020-05-30 20:00:00,46063
2020-05-30 21:00:00,48398
2020-05-30 22:00:00,51947
2020-05-30 23:00:00,60256
2020-05-31 00:00:00,62154
2020-05-31 01:00:00,61703
2020-05-31 02:00:00,55951
2020-05-31 03:00:00,52428
2020-05-31 04:00:00,50370
2020-05-31 05:00:00,44106
2020-05-31 06:00:00,38051
2020-05-31 07:00:00,33568
2020-05-31 08:00:00,28274
2020-05-31 09:00:00,29326
2020-05-31 10:00:00,28769
2020-05-31 11:00:00,30985
2020-05-31 12:00:00,34111
2020-05-31 13:00:00,45186
2020-05-31 14:00:00,49507
2020-05-31 15:00:00,52898
